File Creation Date,2025-05-28
Sampling Location,3km offshore of Odaka District (T-14)

Sea surface to a depth of 0.5 m,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2021/11/29 7:41,,0.0014,0.0041,,2021/11/25 7:52,,0.0014,0.0045,
2021/11/25 7:52,,0.0014,0.0046,,2021/11/15 7:44,,0.0014,0.0080,
2021/11/15 7:44,,0.0014,0.0064,,2021/11/8 7:35,,0.0014,0.010,
2021/11/8 7:35,,0.0014,0.0050,,2021/11/1 7:35,,0.0014,0.0047,
2021/11/1 7:35,,0.0014,0.0038,,2021/10/25 7:37,,0.0014,0.0027,
2021/10/25 7:37,,0.0014,0.0034,,2021/10/19 7:54,,0.0014,0.0027,
2021/10/19 7:54,,0.0014,0.0047,,2021/10/11 7:52,,0.0014,0.0035,
2021/10/11 7:52,,0.0014,0.0054,,2021/10/4 7:57,,0.0014,0.016,
2021/10/4 7:57,,0.0014,0.0098,,2021/9/27 8:03,,0.0014,0.0031,
2021/9/27 8:03,,0.0014,0.0034,,2021/9/21 8:18,,0.0014,0.0040,
2021/9/21 8:18,,0.0014,0.0037,,2021/9/13 7:46,,0.0014,0.0042,
2021/9/13 7:46,,0.0014,0.0060,,2021/9/9 7:41,,0.0014,0.0056,
2021/9/9 7:41,,0.0014,0.0088,,2021/8/30 7:34,,0.0014,0.0030,
2021/8/30 7:34,,0.0014,0.0047,,2021/8/23 8:11,,0.0014,0.0030,
2021/8/23 8:11,,0.0014,0.0028,,2021/8/17 7:48,,0.0014,0.0062,
2021/8/17 7:48,,0.0014,0.0022,,2021/8/11 7:31,,0.0014,0.0052,
2021/8/11 7:31,,0.0014,0.0052,,2021/8/2 7:26,,0.0014,0.0060,
2021/8/2 7:26,,0.0014,0.0060,,2021/7/30 7:32,,0.0014,0.0071,
2021/7/30 7:32,,0.0014,0.0040,,2021/7/19 7:22,,0.0014,0.0037,
2021/7/19 7:22,,0.0014,0.0028,,2021/7/12 6:29,,0.0014,0.0053,
2021/7/12 6:29,,0.0014,0.0044,,2021/7/5 7:38,,0.0015,0.0038,
2021/7/5 7:38,,0.0014,0.0028,,2021/6/28 7:28,,0.0015,0.0027,
2021/6/28 7:28,,0.0014,0.0027,,2021/6/21 7:21,,0.0014,0.0034,
2021/6/21 7:21,,0.0013,0.0053,,2021/6/14 7:25,,0.0015,0.0038,
2021/6/14 7:25,,0.0015,0.0034,,2021/6/7 7:22,,0.0016,0.0086,
2021/6/7 7:22,,0.0018,0.0029,,2021/6/1 7:30,,0.0015,0.0049,
2021/6/1 7:30,,0.0015,0.0034,,2021/5/24 7:33,,0.0014,0.0041,
2021/5/24 7:33,,0.0016,0.0041,,2021/5/19 7:38,,0.0015,0.0093,
2021/5/19 7:38,,0.0012,0.0044,,2021/5/10 7:30,,0.0014,0.0034,
2021/5/10 7:30,,0.0015,0.0029,,2021/5/6 7:34,,0.0015,0.0037,
2021/5/6 7:34,,0.0016,0.0027,,2021/4/27 7:22,,0.0014,0.0052,
2021/4/27 7:22,,0.0015,0.0032,,2021/4/20 7:24,,0.0014,0.0099,
2021/4/20 7:24,,0.0012,0.0054,,2021/4/12 7:27,,0.0014,0.0037,
2021/4/12 7:27,,0.0014,0.0032,,2021/4/8 7:22,,0.0015,0.0025,
2021/4/8 7:22,,0.0013,0.0031,,2021/4/1 7:45,,0.0012,0.0092,
2021/4/1 7:45,,0.0013,0.0029,,2021/3/24 7:34,,0.0015,0.0039,
2021/3/24 7:34,,0.0014,0.0039,,2021/3/15 7:39,,0.0013,0.0035,
2021/3/15 7:39,,0.0013,0.0042,,2021/3/8 7:33,,0.0014,0.0038,
2021/3/8 7:33,,0.0014,0.0030,,-,-,-,-,-
