begperiod,station,org,depth,Cs-134,Cs-134_nd,Cs-137,Cs-137_nd,H-3,H-3_nd,lon,lat
2022-10-07 00:00,M-104,NRA,0.5,,,,,0.093,,141.047,37.40166667
2022-11-12 00:00,M-104,NRA,0.5,,,,,0.087,,141.047,37.40166667
2022-12-02 00:00,M-104,NRA,0.5,,,,,0.078,,141.047,37.40166667
2023-01-13 00:00,M-104,NRA,0.5,,,,,0.052,,141.047,37.40166667
2023-02-03 00:00,M-104,NRA,0.5,,,,,0.063,,141.047,37.40166667
2023-03-03 00:00,M-104,NRA,0.5,,,,,,0.047,141.047,37.40166667
2023-04-21 00:00,M-104,NRA,0.5,,,,,0.056,,141.047,37.40166667
2023-05-20 00:00,M-104,NRA,0.5,,,,,0.071,,141.047,37.40166667
2023-06-09 00:00,M-104,NRA,0.5,,,,,0.062,,141.047,37.40166667
2023-07-07 00:00,M-104,NRA,0.5,,,,,0.11,,141.047,37.40166667
2023-08-04 00:00,M-104,NRA,0.5,,,,,0.051,,141.047,37.40166667
2023-09-01 00:00,M-104,NRA,0.5,,,,,0.079,,141.047,37.40166667
2023-10-06 00:00,M-104,NRA,0.5,,,,,0.097,,141.047,37.40166667
2023-11-10 00:00,M-104,NRA,0.5,,,,,0.42,,141.047,37.40166667
2023-12-08 00:00,M-104,NRA,0.5,,,,,0.1,,141.047,37.40166667
2024-01-12 00:00,M-104,NRA,0.5,,,,,,0.045,141.047,37.40166667
2024-02-02 00:00,M-104,NRA,0.5,,,,,0.1,,141.047,37.40166667
2024-03-12 00:00,M-104,NRA,0.5,,,,,0.18,,141.047,37.40166667
2023-01-16 00:00,M-B1,NRA,1,,,,,0.087,,141.257,38.083
2023-05-18 00:00,M-B1,NRA,1,,,,,0.052,,141.257,38.083
2023-08-02 00:00,M-B1,NRA,1,,,,,0.057,,141.257,38.083
2023-11-14 00:00,M-B1,NRA,1,,,,,0.089,,141.257,38.083
2024-01-17 00:00,M-B1,NRA,1,,,,,0.053,,141.257,38.083
2023-01-12 00:00,M-C1,NRA,1,,,,,0.081,,141.257,37.75
2023-01-12 00:00,M-C1,NRA,45,,,,,0.065,,141.257,37.75
2023-05-18 00:00,M-C1,NRA,1,,,,,0.052,,141.257,37.75
2023-05-18 00:00,M-C1,NRA,47,,,,,0.05,,141.257,37.75
2023-08-02 00:00,M-C1,NRA,1,,,,,0.06,,141.257,37.75
2023-08-02 00:00,M-C1,NRA,47,,,,,0.077,,141.257,37.75
2023-11-14 00:00,M-C1,NRA,1,,,,,0.053,,141.257,37.75
2023-11-14 00:00,M-C1,NRA,47,,,,,0.074,,141.257,37.75
2024-01-17 00:00,M-C1,NRA,1,,,,,0.053,,141.257,37.75
2024-01-17 00:00,M-C1,NRA,47,,,,,0.047,,141.257,37.75
2023-01-12 00:00,M-C3,NRA,1,,,,,0.041,,141.49,37.75
2023-05-13 00:00,M-C3,NRA,1,,,,,0.035,,141.49,37.75
2023-08-02 00:00,M-C3,NRA,1,,,,,0.055,,141.49,37.75
2023-11-14 00:00,M-C3,NRA,1,,,,,0.06,,141.49,37.75
2024-01-12 00:00,M-C3,NRA,1,,,,,0.053,,141.49,37.75
2023-01-12 00:00,M-D1,NRA,1,,,,,0.063,,141.373,37.583
2023-01-12 00:00,M-D1,NRA,109,,,,,0.068,,141.373,37.583
2023-05-18 00:00,M-D1,NRA,1,,,,,0.097,,141.373,37.583
2023-05-18 00:00,M-D1,NRA,110,,,,,0.069,,141.373,37.583
2023-08-01 00:00,M-D1,NRA,1,,,,,0.048,,141.373,37.583
2023-08-01 00:00,M-D1,NRA,115,,,,,0.055,,141.373,37.583
2023-11-23 00:00,M-D1,NRA,1,,,,,0.057,,141.373,37.583
2023-11-23 00:00,M-D1,NRA,106,,,,,0.065,,141.373,37.583
2024-01-13 00:00,M-D1,NRA,1,,,,,0.059,,141.373,37.583
2024-01-13 00:00,M-D1,NRA,111,,,,,0.047,,141.373,37.583
2023-01-19 00:00,M-D3,NRA,1,,,,,0.041,,141.607,37.583
2023-05-13 00:00,M-D3,NRA,1,,,,,0.048,,141.607,37.583
2023-08-01 00:00,M-D3,NRA,1,,,,,0.045,,141.607,37.583
2023-11-16 00:00,M-D3,NRA,1,,,,,0.038,,141.607,37.583
2024-01-17 00:00,M-D3,NRA,1,,,,,0.053,,141.607,37.583
2023-01-09 00:00,M-E1,NRA,1,,,,,0.044,,141.373,37.417
2023-01-09 00:00,M-E1,NRA,121,,,,,0.045,,141.373,37.417
2023-05-23 00:00,M-E1,NRA,1,,,,,0.051,,141.373,37.417
2023-05-23 00:00,M-E1,NRA,120,,,,,0.039,,141.373,37.417
2023-07-31 00:00,M-E1,NRA,1,,,,,0.048,,141.373,37.417
2023-07-31 00:00,M-E1,NRA,121,,,,,0.046,,141.373,37.417
2023-11-23 00:00,M-E1,NRA,1,,,,,0.071,,141.373,37.417
2023-11-23 00:00,M-E1,NRA,116,,,,,0.056,,141.373,37.417
2024-01-13 00:00,M-E1,NRA,1,,,,,0.06,,141.373,37.417
2024-01-13 00:00,M-E1,NRA,120,,,,,0.085,,141.373,37.417
2023-01-09 00:00,M-E3,NRA,1,,,,,0.034,,141.607,37.417
2023-05-13 00:00,M-E3,NRA,1,,,,,0.05,,141.607,37.417
2023-07-31 00:00,M-E3,NRA,1,,,,,0.051,,141.607,37.417
2023-11-16 00:00,M-E3,NRA,1,,,,,0.047,,141.607,37.417
2024-01-18 00:00,M-E3,NRA,1,,,,,0.044,,141.607,37.417
2023-01-07 00:00,M-E5,NRA,1,,,,,0.04,,142,37.5
2023-05-22 00:00,M-E5,NRA,1,,,,,0.048,,142,37.5
2023-08-01 00:00,M-E5,NRA,1,,,,,0.057,,142,37.5
2023-11-12 00:00,M-E5,NRA,1,,,,,0.042,,142,37.5
2024-01-10 00:00,M-E5,NRA,1,,,,,0.047,,142,37.5
2023-01-19 00:00,M-F1,NRA,1,,,,,0.061,,141.373,37.25
2023-01-19 00:00,M-F1,NRA,131,,,,,0.078,,141.373,37.25
2023-05-21 00:00,M-F1,NRA,1,,,,,0.056,,141.373,37.25
2023-05-21 00:00,M-F1,NRA,128,,,,,0.03,,141.373,37.25
2023-07-31 00:00,M-F1,NRA,1,,,,,0.041,,141.373,37.25
2023-07-31 00:00,M-F1,NRA,135,,,,,0.032,,141.373,37.25
2023-11-23 00:00,M-F1,NRA,1,,,,,0.073,,141.373,37.25
2023-11-23 00:00,M-F1,NRA,128,,,,,0.054,,141.373,37.25
2024-01-13 00:00,M-F1,NRA,1,,,,,0.05,,141.373,37.25
2024-01-13 00:00,M-F1,NRA,131,,,,,0.061,,141.373,37.25
2023-01-08 00:00,M-F3,NRA,1,,,,,0.047,,141.607,37.25
2023-05-13 00:00,M-F3,NRA,1,,,,,0.055,,141.607,37.25
2023-07-31 00:00,M-F3,NRA,1,,,,,0.071,,141.607,37.25
2023-11-16 00:00,M-F3,NRA,1,,,,,0.049,,141.607,37.25
2024-01-18 00:00,M-F3,NRA,1,,,,,0.045,,141.607,37.25
2023-01-19 00:00,M-G1,NRA,1,,,,,0.058,,141.257,37.083
2023-01-19 00:00,M-G1,NRA,129,,,,,0.079,,141.257,37.083
2023-05-21 00:00,M-G1,NRA,1,,,,,0.044,,141.257,37.083
2023-05-21 00:00,M-G1,NRA,120,,,,,0.041,,141.257,37.083
2023-08-06 00:00,M-G1,NRA,1,,,,,0.053,,141.257,37.083
2023-08-06 00:00,M-G1,NRA,130,,,,,0.028,,141.257,37.083
2023-11-24 00:00,M-G1,NRA,1,,,,,0.054,,141.257,37.083
2023-11-24 00:00,M-G1,NRA,121,,,,,0.074,,141.257,37.083
2024-01-13 00:00,M-G1,NRA,1,,,,,0.07,,141.257,37.083
2024-01-13 00:00,M-G1,NRA,127,,,,,0.046,,141.257,37.083
2023-01-08 00:00,M-G3,NRA,1,,,,,0.041,,141.49,37.083
2023-05-11 00:00,M-G3,NRA,1,,,,,0.046,,141.49,37.083
2023-07-30 00:00,M-G3,NRA,1,,,,,0.064,,141.49,37.083
2023-11-15 00:00,M-G3,NRA,1,,,,,0.043,,141.49,37.083
2024-01-18 00:00,M-G3,NRA,1,,,,,0.041,,141.49,37.083
2023-01-07 00:00,M-G4,NRA,1,,,,,0.044,,141.75,37
2023-05-11 00:00,M-G4,NRA,1,,,,,0.044,,141.75,37
