File Creation Date,2025-08-18
Sampling Location,Around 3km offshore of  1F site (T-S4) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/7/21,Flatfish (muscle),H-3:OBT,,0.24,Bq/L
2023/7/21,Flatfish (muscle),H-3:OBT,,0.032,Bq/kg-fresh
2023/6/30,Flatfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/6/30,Flatfish (muscle),Cs-134,,6.0,Bq/kg-fresh
2023/6/30,Common skete (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/6/30,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/6/30,Flatfish (muscle),Cs-137,,4.4,Bq/kg-fresh
2023/6/30,Common skete (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/6/30,Flatfish (muscle),H-3:TFWT,,0.072,Bq/L
2023/6/30,Flatfish (muscle),H-3:TFWT,,0.056,Bq/kg-fresh
2023/6/30,Flatfish (muscle),H-3:OBT,,0.24,Bq/L
2023/6/30,Flatfish (muscle),H-3:OBT,,0.034,Bq/kg-fresh
2023/5/31,Searobin (muscle),Cs-134,,4.2,Bq/kg-fresh
2023/5/31,Common skete (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/5/31,Searobin (muscle),Cs-137,,4.3,Bq/kg-fresh
2023/5/31,Common skete (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/4/28,Black rockfish (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/4/28,Flatfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2023/4/28,Flatfish (muscle),Cs-134,,6.4,Bq/kg-fresh
2023/4/28,Roundnose flounder (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/4/28,Japanese angel shark  (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/4/28,Common skete (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/4/28,Japanese amberjack (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/4/28,Black rockfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/4/28,Flatfish (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/4/28,Flatfish (muscle),Cs-137,,5.0,Bq/kg-fresh
2023/4/28,Roundnose flounder (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/4/28,Japanese angel shark  (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/4/28,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/4/28,Japanese amberjack (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/4/28,Flatfish (muscle),H-3:TFWT,,0.081,Bq/L
2023/4/28,Flatfish (muscle),H-3:TFWT,,0.063,Bq/kg-fresh
2023/4/28,Flatfish (muscle),H-3:OBT,,0.28,Bq/L
2023/4/28,Flatfish (muscle),H-3:OBT,,0.041,Bq/kg-fresh
2023/3/23,Flatfish (muscle),Cs-134,,6.5,Bq/kg-fresh
2023/3/23,Searobin (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/3/23,Roundnose flounder (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/3/23,Japanese angel shark  (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/3/23,Common skete (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/3/23,Marbled sole (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/3/23,Flatfish (muscle),Cs-137,,6.1,Bq/kg-fresh
2023/3/23,Searobin (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/3/23,Roundnose flounder (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/3/23,Japanese angel shark  (muscle),Cs-137,11,,Bq/kg-fresh
2023/3/23,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/3/23,Marbled sole (muscle),Cs-137,,4.3,Bq/kg-fresh
2023/3/23,Flatfish (muscle),H-3:TFWT,,0.069,Bq/L
2023/3/23,Flatfish (muscle),H-3:TFWT,,0.054,Bq/kg-fresh
2023/3/23,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2023/3/23,Flatfish (muscle),H-3:OBT,,0.037,Bq/kg-fresh
2023/2/10,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
