File Creation Date,2025-04-02
Sampling Location,Around 3km offshore of Odaka Ward (T-S2) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2022/6/3,Flatfish (muscle),Cs-134,,5.8,Bq/kg-fresh
2022/6/3,Marbled sole (muscle),Cs-134,,3.8,Bq/kg-fresh
2022/6/3,Common skete (muscle),Cs-134,,4.5,Bq/kg-fresh
2022/6/3,Roundnose flounder (muscle),Cs-134,,4.0,Bq/kg-fresh
2022/6/3,Yellow goosefish (whole),Cs-134,,3.9,Bq/kg-fresh
2022/6/3,Stone flounder (muscle),Cs-137,,3.3,Bq/kg-fresh
2022/6/3,Lepidotrigla microptena (muscle),Cs-137,,3.2,Bq/kg-fresh
2022/6/3,Flatfish (muscle),Cs-137,,5.6,Bq/kg-fresh
2022/6/3,Marbled sole (muscle),Cs-137,,2.9,Bq/kg-fresh
2022/6/3,Common skete (muscle),Cs-137,,3.6,Bq/kg-fresh
2022/6/3,Roundnose flounder (muscle),Cs-137,,3.4,Bq/kg-fresh
2022/6/3,Yellow goosefish (whole),Cs-137,,3.8,Bq/kg-fresh
2022/6/3,Flatfish (muscle),H-3:TFWT,0.12,,Bq/L
2022/6/3,Flatfish (muscle),H-3:TFWT,0.096,,Bq/kg-fresh
2022/6/3,Flatfish (muscle),H-3:OBT,,0.39,Bq/L
2022/6/3,Flatfish (muscle),H-3:OBT,,0.055,Bq/kg-fresh
2022/5/19,Lepidotrigla microptena (muscle),Cs-134,,3.4,Bq/kg-fresh
2022/5/19,Flatfish (muscle),Cs-134,,5.6,Bq/kg-fresh
2022/5/19,Marbled sole (muscle),Cs-134,,3.9,Bq/kg-fresh
2022/5/19,Common skete (muscle),Cs-134,,3.9,Bq/kg-fresh
2022/5/19,Roundnose flounder (muscle),Cs-134,,3.2,Bq/kg-fresh
2022/5/19,White croaker (muscle),Cs-134,,3.7,Bq/kg-fresh
2022/5/19,Yellow goosefish (whole),Cs-134,,4.1,Bq/kg-fresh
2022/5/19,Black rockfish (muscle),Cs-134,,4.0,Bq/kg-fresh
