File Creation Date,2025-02-27
Sampling Location,Around 1km offshore of Ota River (T-S1) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/2/9,Ridged-eye flounder (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/1/19,Marbled sole (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/1/19,Black rockfish (muscle),Cs-134,,2.7,Bq/kg-fresh
2023/1/19,Flatfish (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/1/19,Flatfish (muscle),Cs-134,,6.3,Bq/kg-fresh
2023/1/19,Marbled sole (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/1/19,Black rockfish (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/1/19,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/1/19,Flatfish (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/1/19,Flatfish (muscle),H-3:TFWT,0.18,,Bq/L
2023/1/19,Flatfish (muscle),H-3:TFWT,0.14,,Bq/kg-fresh
2023/1/19,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2023/1/19,Flatfish (muscle),H-3:OBT,,0.037,Bq/kg-fresh
2022/12/8,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2022/12/8,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2022/12/8,Flatfish (muscle),Cs-134,,6.2,Bq/kg-fresh
2022/12/8,Lepidotrigla microptena (muscle),Cs-134,,3.4,Bq/kg-fresh
2022/12/8,Stone flounder (muscle),Cs-134,,3.1,Bq/kg-fresh
2022/12/8,Black sea bream (muscle),Cs-134,,3.4,Bq/kg-fresh
2022/12/8,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2022/12/8,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2022/12/8,Flatfish (muscle),Cs-137,,4.9,Bq/kg-fresh
2022/12/8,Lepidotrigla microptena (muscle),Cs-137,,3.5,Bq/kg-fresh
2022/12/8,Stone flounder (muscle),Cs-137,,3.7,Bq/kg-fresh
2022/12/8,Black sea bream (muscle),Cs-137,,3.2,Bq/kg-fresh
2022/12/8,Flatfish (muscle),H-3:TFWT,,0.081,Bq/L
2022/12/8,Flatfish (muscle),H-3:TFWT,,0.064,Bq/kg-fresh
2022/12/8,Flatfish (muscle),H-3:OBT,,0.28,Bq/L
2022/12/8,Flatfish (muscle),H-3:OBT,,0.037,Bq/kg-fresh
2022/11/9,Blue crab (whole),Cs-134,,3.1,Bq/kg-fresh
2022/11/9,Flatfish (muscle),Cs-134,,5.9,Bq/kg-fresh
2022/11/9,Flatfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2022/11/9,Searobin (muscle),Cs-134,,3.3,Bq/kg-fresh
2022/11/9,Sea bass (muscle),Cs-134,,3.6,Bq/kg-fresh
2022/11/9,Japanese angel shark  (muscle),Cs-134,,3.6,Bq/kg-fresh
2022/11/9,Red sea bream (muscle),Cs-134,,3.4,Bq/kg-fresh
2022/11/9,John dory (muscle),Cs-134,,3.6,Bq/kg-fresh
2022/11/9,Blue crab (whole),Cs-137,,3.6,Bq/kg-fresh
2022/11/9,Flatfish (muscle),Cs-137,,5.6,Bq/kg-fresh
2022/11/9,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2022/11/9,Searobin (muscle),Cs-137,,3.7,Bq/kg-fresh
2022/11/9,Sea bass (muscle),Cs-137,,3.3,Bq/kg-fresh
2022/11/9,Japanese angel shark  (muscle),Cs-137,,3.3,Bq/kg-fresh
2022/11/9,Red sea bream (muscle),Cs-137,,2.8,Bq/kg-fresh
2022/11/9,John dory (muscle),Cs-137,,3.9,Bq/kg-fresh
2022/11/9,Flatfish (muscle),H-3:TFWT,0.12,,Bq/L
2022/11/9,Flatfish (muscle),H-3:TFWT,0.094,,Bq/kg-fresh
2022/11/9,Flatfish (muscle),H-3:OBT,,0.29,Bq/L
2022/11/9,Flatfish (muscle),H-3:OBT,,0.040,Bq/kg-fresh
2022/10/7,Common skete (muscle),Cs-134,,3.3,Bq/kg-fresh
2022/10/7,Blue crab (whole),Cs-134,,3.4,Bq/kg-fresh
2022/10/7,Flatfish (muscle),Cs-134,,5.3,Bq/kg-fresh
2022/10/7,Smooth dogfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2022/10/7,Drumfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2022/10/7,Common skete (muscle),Cs-137,,3.8,Bq/kg-fresh
2022/10/7,Blue crab (whole),Cs-137,,4.1,Bq/kg-fresh
2022/10/7,Flatfish (muscle),Cs-137,,5.3,Bq/kg-fresh
2022/10/7,Smooth dogfish (muscle),Cs-137,,4.1,Bq/kg-fresh
2022/10/7,Drumfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2022/9/30,Blue crab (whole),Cs-134,,3.8,Bq/kg-fresh
2022/9/30,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2022/9/30,Flatfish (muscle),Cs-134,,5.8,Bq/kg-fresh
