File Creation Date,2026-01-27
Sampling Location,Around 2km offshore of 2F site (T-S7) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/7/19,Pitted stingray (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/7/19,Flatfish (muscle),H-3:TFWT,,0.069,Bq/L
2023/7/19,Flatfish (muscle),H-3:TFWT,,0.052,Bq/kg-fresh
2023/7/19,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2023/7/19,Flatfish (muscle),H-3:OBT,,0.040,Bq/kg-fresh
2023/6/29,Common skete (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/6/29,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/6/29,Japanese angel shark  (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/6/29,Searobin (muscle),Cs-134,,4.3,Bq/kg-fresh
2023/6/29,Blue crab (whole),Cs-134,,3.4,Bq/kg-fresh
2023/6/29,Common skete (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/6/29,Flatfish (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/6/29,Japanese angel shark  (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/6/29,Searobin (muscle),Cs-137,,4.2,Bq/kg-fresh
2023/6/29,Blue crab (whole),Cs-137,,3.6,Bq/kg-fresh
2023/5/11,Common skete (muscle),Cs-134,,2.7,Bq/kg-fresh
2023/5/11,Flatfish (muscle),Cs-134,,3.0,Bq/kg-fresh
2023/5/11,Flatfish (muscle),Cs-134,,6.4,Bq/kg-fresh
2023/5/11,Smooth dogfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/5/11,Black rockfish (muscle),Cs-134,,2.8,Bq/kg-fresh
2023/5/11,Microstomus achne (muscle),Cs-134,,4.5,Bq/kg-fresh
2023/5/11,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/5/11,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/5/11,Flatfish (muscle),Cs-137,,4.8,Bq/kg-fresh
2023/5/11,Smooth dogfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/5/11,Black rockfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/5/11,Microstomus achne (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/5/11,Flatfish (muscle),H-3:TFWT,,0.081,Bq/L
2023/5/11,Flatfish (muscle),H-3:TFWT,,0.063,Bq/kg-fresh
2023/5/11,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2023/5/11,Flatfish (muscle),H-3:OBT,,0.039,Bq/kg-fresh
2023/3/16,Common skete (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/3/16,Red sea bream (muscle),Cs-134,,2.7,Bq/kg-fresh
2023/3/16,Common skete (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/3/16,Red sea bream (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/2/24,Flatfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/2/24,Roundnose flounder (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/2/24,Microstomus achne (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/2/24,Flatfish (muscle),Cs-137,,3.1,Bq/kg-fresh
