File Creation Date,2025-01-27
Sampling Location,Around 18km offshore of Ukedo River (T-B2) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/8/1,Roundnose flounder (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/8/1,Lepidotrigla microptena (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/8/1,Crimson sea bream (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/8/1,Jack mackerel (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/8/1,John dory (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/8/1,Red sea bream (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/8/1,Searobin (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/8/1,Mirror dory (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/8/1,Common skete (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/8/1,Roundnose flounder (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/8/1,Lepidotrigla microptena (muscle),Cs-137,,3.0,Bq/kg-fresh
2023/8/1,Crimson sea bream (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/8/1,Jack mackerel (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/8/1,John dory (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/8/1,Red sea bream (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/8/1,Searobin (muscle),Cs-137,29,,Bq/kg-fresh
2023/8/1,Mirror dory (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/6/20,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/6/20,Marbled sole (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/6/20,Roundnose flounder (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/6/20,Lepidotrigla microptena (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/6/20,Flatfish (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/6/20,Flatfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/6/20,John dory (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/6/20,Red sea bream (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/6/20,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/6/20,Marbled sole (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/6/20,Roundnose flounder (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/6/20,Lepidotrigla microptena (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/6/20,Flatfish (muscle),Cs-137,,2.8,Bq/kg-fresh
2023/6/20,Flatfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/6/20,John dory (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/6/20,Red sea bream (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/6/20,Flatfish (muscle),H-3:TFWT,0.11,,Bq/L
2023/6/20,Flatfish (muscle),H-3:TFWT,0.085,,Bq/kg-fresh
2023/6/20,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2023/6/20,Flatfish (muscle),H-3:OBT,,0.043,Bq/kg-fresh
2023/6/6,Yellow goosefish (whole),Cs-134,,4.6,Bq/kg-fresh
2023/6/6,Roundnose flounder (muscle),Cs-134,,2.6,Bq/kg-fresh
2023/6/6,Lepidotrigla microptena (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/6/6,Flatfish (muscle),Cs-134,,4.9,Bq/kg-fresh
2023/6/6,Flatfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/6/6,Crimson sea bream (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/6/6,Jack mackerel (muscle),Cs-134,,4.5,Bq/kg-fresh
2023/6/6,John dory (muscle),Cs-134,,3.4,Bq/kg-fresh
