File Creation Date,2025-04-17
Sampling Location,Around 4km offshore of Kumagawa (T-S8) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/7/21,Red sea bream (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/7/21,Flatfish (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/7/21,Flatfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/7/21,Common skete (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/7/21,Searobin (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/7/21,Red sea bream (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/7/21,Flatfish (muscle),H-3:TFWT,0.069,,Bq/L
2023/7/21,Flatfish (muscle),H-3:TFWT,0.053,,Bq/kg-fresh
2023/7/21,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2023/7/21,Flatfish (muscle),H-3:OBT,,0.041,Bq/kg-fresh
2023/6/30,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/6/30,Blue crab (whole),Cs-134,,4.2,Bq/kg-fresh
2023/6/30,Common skete (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/6/30,Blue crab (whole),Cs-137,,3.7,Bq/kg-fresh
2023/6/6,Flatfish (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/6/6,Flatfish (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/6/6,Yellow goosefish (whole),Cs-134,,3.8,Bq/kg-fresh
2023/6/6,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/6/6,Searobin (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/6/6,Red sea bream (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/6/6,John dory (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/6/6,Flatfish (muscle),Cs-137,,4.6,Bq/kg-fresh
2023/6/6,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/6/6,Yellow goosefish (whole),Cs-137,,4.3,Bq/kg-fresh
2023/6/6,Common skete (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/6/6,Searobin (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/6/6,Red sea bream (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/6/6,John dory (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/6/6,Flatfish (muscle),H-3:TFWT,0.063,,Bq/L
2023/6/6,Flatfish (muscle),H-3:TFWT,0.048,,Bq/kg-fresh
2023/6/6,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2023/6/6,Flatfish (muscle),H-3:OBT,,0.041,Bq/kg-fresh
2023/5/10,Flatfish (muscle),Cs-134,,3.0,Bq/kg-fresh
2023/5/10,Flatfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/5/10,Roundnose flounder (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/5/10,Stone flounder (muscle),Cs-134,,3.9,Bq/kg-fresh
